Filename,Document Name,Termination For Convenience,Termination For Convenience-Answer,Change Of Control,Change Of Control-Answer,Anti-Assignment,Anti-Assignment-Answer,Post-Termination Services,Post-Termination Services-Answer
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF",['Amendment #3 to the Manufacturing Agreemen'],[],No,[],No,[],No,"[""such a case, the remaining Source Plasma shall be immediately returned to Sanofi Pasteur, under ADMA's liability and expenses. S""]",Yes
"Antares Pharma, Inc. - Manufacturing Agreement.PDF",['Manufacturing Agreement'],[],No,[],No,"['Any purported assignment in violation of this paragraph shall be void and ineffectual and shall not operate to transfer or assign any interest or title to the purported assignee.', 'Except as otherwise provided in this Section 12.2, neither this Agreement nor any interest hereunder shall be assignable by any Party without the prior written consent of the other (which consent shall not be unreasonably withheld, conditioned or delayed); provided, however, that either Party may assign this Agreement to any wholly-owned subsidiary or to any successor by merger or sale of substantially all of its business unit to which this Agreement relates.']",Yes,[],No
Apollo Endosurgery - Manufacturing and Supply Agreement.PDF,['Manufacturing and Supply Agreement'],[],No,[],No,"['Neither Party shall have the right to assign this Agreement or any of its rights or obligations hereunder without the prior written consent of the other Party; provided, however, APOLLO may assign the Agreement to and may, without the<omitted>prior consent of ESTABLISHMENT, assign all of its rights under this Agreement to (i) a parent or subsidiary of Apollo, (ii) a purchaser of all or substantially all the Apollo assets related to this Agreement, or (iii) a third party acquiring control of Apollo through a merger, acquisition, sale of assets or other corporate reorganization.']",Yes,[],No
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.PDF,['FIRST AMENDMENT TO SUPPLY AND MANUFACTURING AGREEMENT'],[],No,[],No,[],No,[],No
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF",['AMENDMENT NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT'],[],No,['Columbia shall have the right to terminate this Agreement upon [***] notice to Fleet in the event:<omitted>(ii) a Change of Control Event with respect to Fleet occurs;'],Yes,"[""Neither party shall, without the prior written consent (not to be unreasonably withheld or delayed) of the other party having been obtained, assign or transfer this Agreement to any person or entity, in whole or in part (and any attempt to do so shall be void), provided that, each party may assign or transfer this Agreement without such consent to any Affiliate or to any successor by merger of such party, or upon a sale or other transfer of all or substantially all of such party's assets or business to which the subject matter of this Agreement pertains, provided that the acquirer of the business confirms to the Supplier in writing its agreement to be bound by all of the terms and conditions of this Agreement and that the assignor shall remain liable for the obligations hereunder."", 'Notwithstanding the foregoing, it shall not be deemed unreasonable for Columbia to withhold consent, to any proposed or attempted assignment (including by merger or sale) by Fleet to a party which is not an Affiliate, if Columbia is not reasonably satisfied that the assignee possesses the management, finances, personnel, capabilities and facilities to perform fully the obligations of Fleet hereunder.']",Yes,"['Upon termination of this Agreement, Fleet agrees to perform its obligations under this Agreement until the earlier of [***].']",Yes
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement .PDF,['Manufacturing Agreement'],[],No,[],No,['Neither Party shall assign any of its rights or obligations under this Agreement to any third party directly or indirectly without the prior written consent of the other Party.'],Yes,"[""Upon the termination of this Agreement by either party:<omitted>(iv) within sixty (_60_) business days after the termination of this Agreement, Manufacturer shall prepare all such items in its possession for shipment, as EMV may direct, at EMV's expense.""]",Yes
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.PDF",['Master Development and Manufacturing Agreement'],['This Agreement or any Project Plan may be terminated:\n\n(a) by Magenta for any reason upon [***] written notice to Bachem;'],Yes,[],No,"[""Bachem will not assign this Agreement without the prior written consent of Magenta, and any purported assignment in contravention of this Section 15.2 shall be null and void; provided, however, that either Party may assign this Agreement in connection with (i) the sale, transfer or other disposition of its assets related to this Agreement, (ii) a change in control of such Party, or (iii) the sale or transfer of substantially all of such Party's outstanding stock."", 'Bachem shall not assign, subcontract or delegate any of its rights or obligations under this Agreement without the express prior written authorization of Magenta, provided however, that Bachem may subcontract its rights and obligations hereunder to those subcontractors identified and agreed to by the Parties in the Quality Agreement.']",Yes,[],No
"Sonos, Inc. - Manufacturing Agreement .PDF",['Manufacturing Agreement'],['Either Party may terminate this Agreement hereunder for any reason at its convenience upon one hundred eighty (180) days prior written notice.'],Yes,[],No,"['No party may assign its rights or delegate its obligations hereunder, either in whole or in part, without the prior written consent of the other party, other than an assignment by Sonos or IAC of its rights and obligations hereunder to a wholly-owned subsidiary.', 'Any attempted assignment or delegation in violation of this section by either party without the prior written consent of the other will be void.', 'Before engaging any IAC Subcontractor, IAC shall first notify and get written approval from Sonos for the use of such IAC Subcontractor.']",Yes,"['If a termination notice is delivered pursuant to 15.2, 15.3, 15.4 or if Sonos decides to transfer the manufacturing of a Product from IAC during the Term of the Agreement, IAC shall cooperate fully with Sonos to effect the transfer of the manufacturing of the Products (without any obligation that IAC transfers IAC Property from IAC to Sonos, or a third party designated by Sonos, in order to help minimize any potential disruption in the continuity of supply. I', 'In the event that such transfer is the result of a termination notice pursuant to 15.2, 15.3 or 15.4 and such transfer is not completed by the termination date pursuant to 15.2, 15.3 or 15.4, the parties shall, acting reasonably and in good faith, agree to continue to cooperate fully to effect the transfer and extend the Term of this Agreement on such appropriate terms as the parties may agree for one or more ninety (90) day periods (the succession of which must be notified to IAC in writing within thirty (30) days of the expiration of the first ninety (90) day period and within the same timeframe for each period thereafter), until such time as the transfer is completed.']",Yes
"VAPOTHERM, INC. - Manufacturing and Supply Agreement.PDF",['Manufacturing and Supply Agreement'],[],No,"['Notwithstanding anything to the contrary in this Agreement, Medica shall neither enter into an agreement to nor shall consummate (a) any Change of Control or (b) any sale of all or substantially all of its assets relating to the manufacture of the Cartridges unless (a) it provides Vapotherm written notice of any such proposed transaction, which notice shall include the specific terms and conditions of the proposed transaction, including the identify of the proposed acquirer, (b) Medica offers to enter into such transaction with Vapotherm on substantially the same terms and conditions, and (c) with [* * *] days of such notice, Vapotherm declines to accept such offer.']",Yes,"['Neither party may assign any of its rights or obligations under this Agreement without the prior written consent of the other except that: (1) Vapotherm may assign this Agreement or transfer its rights and obligations under this Agreement to an Affiliate of Vapotherm or a successor to all or substantially all of its assets or business relating to this-Agreement, whether by sale, merger, operation of law, or otherwise.']",Yes,[],No
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.PDF",['SUPPORT AND MAINTENANCE AGREEMENT'],[],No,[],No,"['Neither party will have the right to assign, pledge or transfer all or any part of this Agreement without the prior written consent of the other, and any such purported assignment, pledge or transfer by a party without such prior written consent shall be void ab initio; provided, however, that either party may assign all or part of its rights and obligations under this Agreement in connection with a Change of Control (as defined in the Asset Purchase Agreement).']",Yes,[],No
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT.PDF,['COMPLEHON AGREEMENT AND UQITDITV MAINTENANCE AGREEMENT'],[],No,[],No,[],No,[],No
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT.PDF,"['RESTATED NET INVESTMENT INCOME MAINTENANCE AGREEMENT,']",[],No,[],No,[],No,[],No
SANDRIDGEENERGYINC_08_06_2009-EX-10.6-OPERATIONS AND MAINTENANCE AGREEMENT.PDF,['OPERATIONS AND MAINTENANCE AGREEMENT'],"['This Agreement shall commence on the Effective Date and, unless terminated earlier pursuant to Section 3.2 or 3.3 of this Agreement, shall  continue until the twentieth (20th) anniversary of the Effective Date; provided, however, (i) Operator shall have the right to terminate this  Agreement at any time upon no less than 120 days prior written notice to Owner, if Operator provides a substitute operator acceptable to Owner,  as determined in its reasonable discretion, who (A) has experience operating similar assets, (B) has the ability to provide at least the same quality  of service as Operator, (C) has the financial ability to perform the obligations hereunder, and (D) is ready, willing and able to execute an operation  and maintenance agreement substantially similar to this Agreement and acceptable to Owner, as determined in its reasonable discretion, and  (ii) Owner shall have the right to terminate this Agreement at any time upon no less than 120 days prior written notice to Operator.']",Yes,['Owner may terminate this Agreement at any time upon the occurrence of any of the following:<omitted>(b)   an Operator Change of Control;'],Yes,"['Any attempted assignment of this Agreement in violation of this Section 9.13 shall be null and void.', 'Operator shall not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder unless there first shall  have been obtained the written consent thereto of Owner, which consent shall not be unreasonably withheld, conditioned, or delayed.', 'Owner shall  not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder except in connection with the sale or  conveyance of all or any part of the Gathering System.']",Yes,"[""Upon the termination of this Agreement, Operator shall cooperate in the transition of operations to Owner or a successor operator and upon  Owner's request, will promptly deliver all books and records and other property (including, without limitation, intellectual property) of Owner to  Owner or the successor operator, as applicable.""]",Yes
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF,['Unconditional Capital Maintenance Agreement'],"['AIG shall have the absolute right        to terminate this Agreement upon thirty (30) days\' prior written notice        to the Company, which notice shall state the effective date of        termination (the ""Termination Date""); PROVIDED, HOWEVER, that AIG agrees        not to terminate this Agreement unless (a) AIG significantly modifies        the corporate structure or ownership of the Company, or (b) AIG sells        the Company to an acquirer (i) having a rating from at least one of S&P,        Moody\'s, A.M. Best or a substitute agency, which is a nationally        recognized statistical rating organization, that is at least equal to        the lower of (x) AIG\'s then-current rating from such agency or (y) the        Company\'s then-current rating as supported by this Agreement from such        agency; or (ii) such that, immediately on the effective date of the sale        by AIG of the Company, the Company\'s capitalization is consistent with        the minimum capital adequacy standards and criteria of at least one of        S&P, Moody\'s, A.M. Best or a substitute agency, which is a nationally        recognized statistical rating organization, for a rating that is equal        to or better than the Company\'s then-current rating on the date        immediately preceding such sale.']",Yes,[],No,[],No,[],No
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.PDF,['Maintenance and support contract'],[],No,[],No,['The rights and obligations under this maintenance and support contract may       not be assigned in whole or in part by either party without the prior       written consent by the other party.'],Yes,[],No
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,['SOFTWARE LICENSE AND MAINTENANCE AGREEMENT'],[],No,"[""For purposes of the preceding sentence, Licensor will be deemed to have reasonably withheld its consent to a Change of Control if any  person or entity who would acquire direct or indirect control (as defined below) of Licensee pursuant to such Change of Control then conducts a  business that is directly or indirectly competitive with a business then conducted by Licensor or any of its Affiliates and/or Licensor reasonably believes that Licensor's interests will be adversely effected by the continuing of this Agreement upon such a Change in Control."", ""Upon the occurrence of any Change of Control (as defined below) this Agreement and all Licensee's rights and licenses hereunder  shall automatically terminate unless, prior to the occurrence of such Change of Control, Licensor has consented to such Change of Control in a  writing executed by an officer of Licensor; provided that Licensor will not unreasonably withhold its consent to the consummation of a Change of  Control.""]",Yes,"['Licensee will not sell, lease, lend, transfer, assign, hypothecate, or otherwise distribute the licensed programs to  any third party for use in the field of foreign exchange transactions unless the Licensee receives specific approval  of the Licensor.', ""Licensee may not assign this Agreement or assign, sublicense and/or transfer in any manner its license rights hereunder in  whole or in part without Licensor's prior written consent."", 'Licensee agrees it shall not exchange, lease, sublease, distribute, assign, sell or otherwise transfer in any manner any right and/or interest  incident to the License Technology to any third party under any circumstances, without the prior written consent of the Licensor.', ""Any attempt to assign this Agreement or assign, sublicense and/or transfer in any  manner Licensee's license rights hereunder without such consent will be void and of no effect.""]",Yes,[],No
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,['SOFTWARE LICENSE AND MAINTENANCE AGREEMENT'],['Sparkling may terminate this Agreement at any time upon ninety (90) calendar days written notice to Garman.'],Yes,[],No,"['Sparkling shall:<omitted>(c)    not assign this Agreement or transfer, lease, export or grant a sublicence of the Work to any Person, except as and when authorized to do so by Garman in writing;', 'Neither party may assign this Agreement or any rights and obligations under this Agreement to any third party without the written consent of the other party.']",Yes,"[""If this Agreement is terminated by Sparkling, due to Garman's default, the license herein granted shall continue, but shall be converted to a perpetual license pursuant to which Sparkling shall not be required to pay any further fees to Garman hereunder, and Garman shall immediately return all fees paid under this Agreement for services\n\n\n\n\n\nnot yet rendered.""]",Yes
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT.PDF,['FLEET MAINTENANCE AGREEMENT'],"['Following expiry of the initial period described in Clause 15 above, DCL or SEV giving not less than six months notice in  writing may terminate this Agreement.']",Yes,[],No,['Neither party shall be entitled to assign the benefit of this Agreement without the prior written consent of the other party nor shall  such consent be unreasonably withheld.'],Yes,['SEV shall remain liable for the repairs described in Clause 4.12 identified by DCL for a period of thirteen weeks from the end  of the Contracted Period and shall provide such repairs on a free of charge basis.'],Yes
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT.PDF",['OPERATIONS AND MAINTENANCE AGREEMENT'],[],No,[],No,"['Owner shall deliver  notice of any such assignment, pledge or transfer to Service Provider in writing as soon as reasonably practicable thereafter.', ""Service Provider shall not, without the prior written consent of Owner, which consent will not be unreasonably withheld or delayed, assign,  pledge or transfer all or any part of, or any right or obligation under, this Agreement, whether voluntarily or by operation of law, and any such  assignment or transfer without such consent will be null and void; provided, however, that notwithstanding the foregoing, Service Provider may,  without the consent of Owner, assign,<omitted>pledge or transfer all or any part of Service Provider's payment rights under this Agreement (i) to any affiliate of Service Provider, (ii) to any party  that acquires Service Provider or all or substantially all of Service Provider's assets, or (iii) for security purposes in connection with any financing  and, provided further, that Service Provider shall remain fully liable for the performance of all of Service Provider's obligations under this  Agreement.""]",Yes,[],No
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,['CONSTRUCTION AND MAINTENANCE AGREEMENT'],"[""However, any Party          may terminate  its  participation  in this  Agreement at the end of the          Initial Period or at any time  thereafter by giving at least one year's          prior notice,  in writing,  to the other  remaining  Parties.""]",Yes,"['A Party may assign the whole of its rights  under this  Agreement  to a          successor  by  law,  Subsidiary  or  Affiliate  of  such  Party,  or  a          corporation or an entity  jointly  controlling or under the same common          control as such Party,  provided that the assigning  Party shall remain          jointly and severally  liable with the assignee for the  performance of          this  Agreement for the duration of the  Agreement.']",Yes,"['The Managing Group          may  decide  that the  assigning  Party  will not  remain  jointly  and          severally  liable  with  the  assignee  for  the  performance  of  this          Agreement for the duration of the Agreement provided that the assigning          Party will give  notice to the other  Parties in a timely  manner,  and          provided  that  the  assignee  agrees  in  writing  to be  bound by the          provisions of this Agreement.', 'Except in accordance  with  Subparagraph  30.2, no Party may assign the          whole of its rights under this Agreement without the written consent of          all the other Parties, such consent shall not be unreasonably withheld.', 'No Party may assign,  sell, transfer or dispose of part or parts of its          rights or obligations under this Agreement except as otherwise provided          for in Paragraph 9.']",Yes,[],No
SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.PDF,['MAINTENANCE AGREEMENT'],[],No,[],No,[],No,[],No
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,['Software license and maintenance agreement'],['LICENSEE may terminate this Agreement upon ninety (90) days written notice.'],Yes,[],No,"['No party may assign any of its rights, obligations or privileges (except by operation of law or other corporate reorganization) hereunder without the prior written consent of the other party, which shall not be unreasonable withheld, provided, that any party shall have the right to assign its rights, obligations and privileges hereunder to a successor in business or an acquirer of all or substantially all of its business or assets to which this Agreement pertains without obtaining the consent of the other party.']",Yes,[],No
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,['ASIA PACIFIC CABLE NETWORK 2 CONSTRUCTION & MAINTENANCE AGREEMENT'],"[""However, any Party may terminate its participation in this Agreement at the end of the Initial Period or any time thereafter by giving not less than one (1) year's prior notice thereof, in writing, to the other Parties.""]",Yes,[],No,"['Except as otherwise provided in Paragraph 12 and Subparagraphs 22.2, 22.3, 22.4 and 22.5, during the term of this Agreement, no Party may assign, sell, transfer or dispose of the whole or any parts of its rights or obligations under this Agreement']",Yes,"['The remaining Parties to this Agreement shall assume the obligations, capital, operation, and maintenance interests of the Party terminating its participation in proportion to their interests assigned immediately preceding such effective date of termination, except for the continuing rights and obligations of the terminating Party as specified in Subparagraph 18.7 of this Agreement.']",Yes
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.PDF,['LICENCE AND MAINTENANCE AGREEMENT'],"[""This AGREEMENT and the licence granted hereunder shall terminate should any   of the following events occur:   6. 2. 1.        30 (thirty) days after TELKOM gives SAP AFRICA written notice of   TELKOM's wish to terminate this AGREEMENT for any reason. Any such   termination shall be subject to accrued rights and obligations but only after   payment of all Licence and Maintenance Fees then due and owing;"", 'The Maintenance Services may be terminated by TELKOM in writing at   any time upon 3 (three) months prior written notice.']",Yes,[],No,"[""Neither Party shall be entitled to cede, or delegate its rights and obligations arising   from this AGREEMENT or to assign this AGREEMENT to any other person or   entity without the prior written consent of the other party provided that either party   shall be entitled to assign this AGREEMENT, in whole and not part only, to any of   its' subsidiary or holding companies (as defined and contemplated in the   Companies Act of 1973, as amended) provided that any such assignment shall   ipso facto cease to be of any further force and effect as between the parties,   should the assignee cease, for whatever reason, to be a subsidiary or holding   company, of the assignor.""]",Yes,[],No
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.PDF,['TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT'],[],No,[],No,"[""The Customer shall not assign or transfer its rights or                   obligations under this Agreement except with MMMW's prior                   written consent; any prohibited assignment or transfer shall                   be void.""]",Yes,[],No
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.PDF,['MAINTENANCE AGREEMENT'],"['Notwithstanding the foregoing, either party may terminate this Agreement at any time without liability by providing one hundred eighty (180) days written notice to the other party.']",Yes,[],No,"['The Company shall not sell, transfer or otherwise attempt to convey or dispose of any part of the Fiber Ring Assets, other than sales and leases of capacity or of individual fiber strands in the ordinary and usual course of business unless the Provider consents to such transaction, which consent will not be withheld if, (a) the proposed transferee consents in writing to the assumption of all obligations of the Company under this Agreement, including those obligations to be undertaken under other agreements pursuant to Section 3.3, and (b) all governmental approvals (under City Rights Agreements or otherwise) have been obtained, with the Provider having the right (if it elects) to coordinate such efforts if it is the counterparty under such agreements requiring approval (with the Company to pay the reasonable costs of doing so).', 'This Agreement and the rights and obligations hereunder may be assigned by the Provider upon written notice to the Company.']",Yes,[],No
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF,['Amended and Restated Unconditional Capital Maintenance Agreement'],[],No,[],No,[],No,[],No
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.PDF,['OPERATIONS AND MAINTENANCE AGREEMENT'],['Owner may terminate this Agreement at any time upon the occurrence of any of the following:<omitted>(e) Without cause on no less than seven (7) days prior written notice.'],Yes,[],No,"['Any attempted assignment of this Agreement in violation of this Section 8.12 shall be null and void.', 'Operator shall not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder unless there first shall have been obtained the written consent thereto of Owner, which consent shall not be unreasonably withheld, conditioned, or delayed.', 'Owner shall not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder except in connection with the sale, financing or conveyance of all or any part of the Rail Facility.']",Yes,"['Upon the termination of this Agreement, Operator shall cooperate in the transition of operations to Owner or a successor operator']",Yes
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.PDF,['Maintenance and Support Agreement'],[],No,"['No transfer of this Agreement by operation of law or change in Control of a party, including, without limitation, by merger, consolidation or sale or other transfer of equity interests, shall be considered an assignment for purposes of this Section 11.9.']",Yes,"[""Otherwise, neither party may assign this Agreement without the other party's prior written consent (not to be unreasonably withheld).""]",Yes,[],No
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT.PDF,['FIRST AMENDMENT TO SAGEBRUSH MANAGEMENT AND MAINTENANCE AGREEMENT'],[],No,[],No,[],No,[],No
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.PDF",['ORDERLY MARKETING AGREEMENT'],"[""The Engagement Letter shall provide that the Bank may terminate its engagement at any time upon not less than 45 days' prior written notice to the other Parties."", 'Notwithstanding the foregoing, this OMA may be terminated with or without cause at any time after the Effective Date and without liability or continuing obligation by any of the Parties hereto (i) by mutual written agreement of all of the Parties; and (ii) in writing by the Trust Advisors in their sole discretion.']",Yes,[],No,[],No,[],No
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.PDF","['Sales, Marketing, Distribution, and Supply Agreement']",[],No,[],No,"['Neither this Agreement nor any rights or obligations or licenses hereunder may be assigned, pledged, transferred or encumbered by either party without the express prior written approval of the other party, except that either HEMISPHERX or SCIEN may assign this Agreement to any successor by merger or sale of substantially all of its business or assets to which this Agreement pertains, without any such consent.', 'Any assignment in violation hereof is void.']",Yes,"['Raw data, documentation, batch records, source documents, product disposition records and reports (collectively, ""Documentation"") shall be retained by SCIEN for a minimum period of two (2) years after termination or expiration of the Specialty Distributor Purchase and Service Agreement between HEMISPHERX and SCIEN.', 'In the event of termination of this Agreement, SCIEN will have the right to complete all contracts for the sale or disposition of Product) under which SCIEN is obligated on the date of termination, provided SCIEN pays the associated Transfer Price and provided all such sales or dispositions are completed within three (3) months after the date of termination.', 'In the event of termination of this license for any reason, SCIEN shall within 6months (as described in the Termination clause), cease all use of the ""Interferon alfa-n3 (human leukocyte derived)"".', 'In the event this Agreement is terminated by either Party for any reason whatsoever, HEMISPHERX agrees to reasonable efforts to make Product available to SCIEN for a period of three (3) months after the termination date at the same Transfer Price and under the same terms of payment.', 'Thereafter, HEMISPHERX shall purchase from the SCIEN all remaining stock of Product that is of merchantable quality at the same price as was paid by SCIEN.']",Yes
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .PDF,['SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT'],[],No,"['An Event of Default shall mean any of the following occurrences:<omitted>the occurrence of a Change of Control of an SMG Target without the prior written consent of Monsanto, unless the Agent has determined in its reasonable commercial opinion that such acquiror can and will fully perform the duties and obligations of the Agent under this Agreement;', 'Except as set forth in this Section 11.8 or Section 2.3, and except for a Change of Control under Section 10.4(b)(7) that does not provide Monsanto termination rights under this Agreement, neither this Agreement nor any of the rights, interests, or obligations hereunder shall be transferred, delegated, or assigned by a party (by operation of law or otherwise) without the prior written consent of the other party.', ""In addition, notwithstanding the foregoing, Monsanto, or a subsequent successor, may assign the licenses for the Additional Roundup Products Trademarks upon a Change of Control with respect to Monsanto or a Roundup Sale, provided that Monsanto has provided the Agent with prior written notice of, and has obtained the Agent's prior written consent to, such assignment, which consent shall not be unreasonably withheld."", 'In addition to its right to terminate this Agreement pursuant to Section 10.9, Monsanto shall have the right to terminate this Agreement by giving the Agent a termination notice specified for each termination event upon the occurrence and continuance of either of the following:\n\n(1) An Event of Default occurring at any time; or<omitted>(2) A Change of Control with respect to Monsanto or a Roundup Sale, in each case, by giving the Agent a notice of termination, such termination to be effective at the end of the fifth (5th) full Program Year after such notice is provided.', 'For the avoidance of doubt, in no event shall this Agreement be transferred, delegated, or assigned by a party (by operation of law, Change of Control, or otherwise) to a third party unless the applicable portions of the License Agreement are also transferred to such third party.']",Yes,"['Any transfer or assignment not permitted by this Section 11.8 shall be null and void.', 'An Event of Default shall mean any of the following occurrences:<omitted>the occurrence of a Change of Control of an SMG Target without the prior written consent of Monsanto, unless the Agent has determined in its reasonable commercial opinion that such acquiror can and will fully perform the duties and obligations of the Agent under this Agreement;', ""Notwithstanding the foregoing:<omitted>(2) Subject to Agent's rights set forth in Section 10.6, Monsanto shall have the right to transfer and assign all or a portion of its rights, interests and obligations hereunder to a Person that acquires all or a portion of Monsanto's business related to the Lawn and Garden<omitted>Market (whether by sale or transfer of equity interests or assets, merger or otherwise); provided, that any such assignee shall be subject to the provisions of this Agreement as if it were the original party hereto, including, without limitation, this Section 11.8;<omitted>(4) the Agent shall be entitled to transfer and assign its rights, interests and obligations hereunder and under the License Agreement with respect to the Included Markets; provided, that (A), the Agent may only make one (1) assignment pursuant to this Section 11.8(b)(4) with respect to the North America Territories and one (1) assignment pursuant to this Section 11.8(b)(4) with respect to any Other Included Markets, (B) the Agent determines in its reasonable commercial opinion that the assignee of such rights pursuant to this Section 11.8(b)(4) can and will fully perform the duties and obligations under the License Agreement and with respect to the Roundup L&G Business in such Included Markets as specified in the License Agreement and this Agreement and (C) that any such assignee shall be subject to the provisions of the License Agreement and this Agreement as if it were an original party to each agreement."", 'Except as set forth in this Section 11.8 or Section 2.3, and except for a Change of Control under Section 10.4(b)(7) that does not provide Monsanto termination rights under this Agreement, neither this Agreement nor any of the rights, interests, or obligations hereunder shall be transferred, delegated, or assigned by a party (by operation of law or otherwise) without the prior written consent of the other party.', 'For the avoidance of doubt, in no event shall this Agreement be transferred, delegated, or assigned by a party (by operation of law, Change of Control, or otherwise) to a third party unless the applicable portions of the License Agreement are also transferred to such third party.', 'Notwithstanding anything in this Agreement to the contrary, the Agent may not transfer or assign any rights, interests or obligations (i) under this Agreement to any Restricted Party or (ii) that are provided pursuant to Sections 10.5(d) or 10.6 of this Agreement.']",Yes,"['The Agent and Monsanto shall each maintain true and complete records in connection with this Agreement and shall retain all such records for at least forty-eight (48) months following the termination or expiration of this Agreement.', ""In the event of a termination of this Agreement by Monsanto pursuant to Section 10.4(a)(2) hereof, or by the Agent pursuant to Section 10.6(c)(1) hereof, then notwithstanding the provisions of Section 6.13 hereof, either party may, no earlier than three (3) years prior to the expiration of the Noncompetition Period, commence non- commercial activities (including formulation development, regulatory registrations, packaging and delivery systems development, and advertising and promotional material development and any other activities not prohibited by Section 6.13 of this Agreement during the Noncompetition Period, but excluding consumer-facing efforts or communications) for the sole purpose of such party's preparation to launch any competing product upon expiration of the Noncompetition Period; and provided, that either party may, no earlier than twelve (12) months prior to the expiration of the Noncompetition Period, engage with retail customers for the sole purpose of selling-in competing products (provided that no product may be shipped to a retail customer or distributor prior to the end of the Noncompetition Period)."", 'Upon such expiration or termination, the Agent will purchase any remaining inventory of the Additional Roundup Products, including any components thereof, at cost.']",Yes
LECLANCH S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.PDF,['JOINT DEVELOPMENT AND MARKETING AGREEMENT'],[],No,"['Subject to Article 22.2, this Agreement shall remain in force for an Initial Period of 1 year, which may be renewed by mutual consent for such period as the Parties may agree (""Term""), unless it is terminated earlier in accordance with this Agreement or for any of the following reasons:<omitted>or in case of a change of control of one of the Parties;']",Yes,"['Any attempted assignment or delegation in violation of this section shall be void.', 'Neither Party may assign, delegate, or transfer this Agreement or any of its rights or duties hereunder, without the prior written consent of the other Party.']",Yes,"['If the Agreement is terminated, the Parties shall endeavour to ensure that assets contributed by each Party shall, so far as possible, be transferred back to that Party.']",Yes
