Filename,Document Name,Uncapped Liability,Uncapped Liability-Answer,Cap On Liability,Cap On Liability-Answer,Liquidated Damages,Liquidated Damages-Answer,Warranty Duration,Warranty Duration-Answer,Insurance,Insurance-Answer,Covenant Not To Sue,Covenant Not To Sue-Answer,Third Party Beneficiary,Third Party Beneficiary-Answer
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT.PDF,['FIRST AMENDMENT TO SAGEBRUSH MANAGEMENT AND MAINTENANCE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.PDF",['ORDERLY MARKETING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.PDF","['Sales, Marketing, Distribution, and Supply Agreement']",[],No,"['IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES RESULTING FROM THE LICENSE GRANTED PURSUANT TO THIS AGREEMENT OR THE USE OR COMMERCIAL DEVELOPMENT OF PRODUCT.']",Yes,['HEMISPHERX will have the option at any time to buy out this Agreement.'],Yes,['The following products are eligible for return and reimbursement:   Â· Outdated Product: Product within two (2) months prior or six (6) months past expiration date and noted on product;   AND   Â· Product in its original container and bearing its original label.'],Yes,[],No,"['SCIEN agrees that it will not during the term of this Agreement, or thereafter, attack the title or any rights of HEMISPHERX in and to Interferon alfa-n3 (human leukocyte derived) or attack the validity of the license granted herein by HEMISPHERX and solely owned by HEMISPHERX.']",Yes,[],No
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .PDF,['SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT'],[],No,"[""In the case of termination by Monsanto upon any of the Events of Default specified in Sections 10.4(b) (6), (7) and (9), the remedies of Monsanto shall be limited to (i) termination of this Agreement and (ii) the recovery of reasonable and customary out-of-pocket expenses incurred by Monsanto in transferring the Agent's duties hereunder to a new agent; provided that in no case shall the amount of expenses recoverable under this provision exceed $20MM."", ""If Monsanto does not contest the occurrence of the alleged Brand Decline Event by submitting such alleged Brand Decline Event to resolution through<omitted>arbitration in accordance with the provisions of Section 10.4(g) of this Agreement within ninety (90) days of receipt of such notice from the Agent, then that Brand Decline Event shall be deemed to have occurred as of the date of such notice, and thereafter the Agent shall be entitled to either, as the Agent's sole remedy, (x) terminate this Agreement, which termination shall be effective at the end of the third (3rd) full Program Year following the Program Year in which the Agent delivers notice of termination pursuant to this Section 10.5(d)(ii), or (y) not terminate this Agreement and be entitled to the Additional Commission Amount (in addition to the Commission) set forth in Section 10.5(d)(iv) below, which Additional Commission Amount shall be subject to all other terms and conditions of this Agreement with respect to the Commission, except as otherwise expressly stated in this Section 10.5(d)."", ""If Monsanto does contest the occurrence of the alleged Brand Decline Event by submitting such alleged Brand Decline Event to resolution through arbitration in accordance with the provisions of Section 10.4(g) of this Agreement within ninety (90) days of receipt of such notice from the Agent, then the question of whether a Brand Decline Event has occurred will be finally determined in accordance with the provisions of Section 10.4(g) of this Agreement, and if a Brand Decline Event is finally determined to have occurred, then the Brand Decline Event shall be deemed to have occurred as of the date of such notice, and thereafter the Agent shall be entitled to either, as the Agent's sole remedy, (x) terminate this Agreement, which termination shall be effective at the end of the third (3rd) full Program Year following the Program Year in which the Agent delivers notice of termination pursuant to this Section 10.5(d)(iii), or (y) not terminate this Agreement and be entitled to the Additional Commission Amount (in addition to the Commission) set forth in Section 10.5(d)(iv) below, which Additional Commission Amount shall be subject to all other terms and conditions of this Agreement with respect to the Commission, except as otherwise expressly stated in this Section 10.5(d)."", 'The payment of a Termination Fee to the Agent under Section 10.4(c) shall be deemed to constitute the exclusive remedy for any damages resulting out of the termination of this Agreement by Monsanto or the successor to the Roundup Business pursuant<omitted>to Section 10.4(c) and the Agent shall waive its right to exercise any other remedies otherwise available at law or in equity.']",Yes,"['Monsanto and the Agent stipulate and agree that the injury which will be caused to the Agent by the termination of this Agreement under the circumstances which shall give rise to the payment of the Termination Fee are difficult or impossible of accurate estimation; that by establishing the Termination Fee they intend to provide for the payment of damages and not a penalty; and that the sum stipulated for the Termination Fee is a reasonable pre-estimate of the probable loss which will be suffered by the Agent in the event of such termination.', 'Upon termination of this Agreement by the Agent pursuant to Section 10.5(a), Monsanto shall pay to the Agent the Termination Fee applicable pursuant to the Table set forth in Section 10.4(d).', 'Except for termination of this Agreement by Monsanto upon any Event of Default, a Termination Fee (as specified in Section 10.4.(d)) shall only be paid either by Monsanto or by the successor to the Roundup Business, as the case may be, upon the following terms and conditions:<omitted>(1) in the event the Agreement is effectively terminated by either Monsanto or its successor or by the Agent upon Material Breach, Material Fraud or Material Willful Misconduct by Monsanto as provided for in Section 10.5.(c);\n\n(2) no later than the effective date of the applicable termination notice and no later than the effective date of the termination; and\n\n(3) only in the event the Agent does not become the successor to the Roundup Business, in which case the Termination Fee shall not be paid but shall be credited against the purchase price as described in Section 10.4(d).']",Yes,[],No,"[""The Agent, shall, during the term of this Agreement, maintain full insurance against the risk of loss or damages to the Roundup Products for any Agents' warehouse where Roundup Products are under the custody of the Agent and, upon request, shall furnish Monsanto with satisfactory evidence of the maintenance of said insurance.""]",Yes,"[""Monsanto further agrees that it will in no way dispute, impugn or attack the validity of said Canada Marks or OMS Investments, Inc.'s or the Agent's rights thereto."", ""Monsanto further agrees that it will in no way dispute, impugn or attack the validity of the Additional Roundup Products Trademarks or the respective owner's rights thereto.""]",Yes,[],No
LECLANCH S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.PDF,['JOINT DEVELOPMENT AND MARKETING AGREEMENT'],[],No,[],No,[],No,[],No,['Oak Ridge shall arrange product liability and warranty insurance.'],Yes,[],No,[],No
"Loop Industries, Inc. - Marketing Agreement.PDF",['Marketing Agreement'],"[""NOTWITHSTANDING THE FOREGOING, NONE OF THE FOREGOING LIMITATIONS OF LIABILITY SET FORTH IN THIS SECTION 3.1 SHALL BE AVAILABLE TO EITHER PARTY WITH RESPECT TO A BREACH OF SECTION 4, CONFIDENTIAL INFORMATION, OR FOR CLAIMS TO THE EXTENT THEY ARISE OUT OF A PARTY'S GROSS NEGLIGENCE, FRAUD, OR WILLFUL MISCONDUCT.""]",Yes,"[""JOINT VENTURE COMPANY'S TOTAL CUMULATIVE LIABILITY TO THE LOOP PARTIES WITH RESPECT TO A TRANSFERRED CONTRACT, IN ALL CIRCUMSTANCES AND REGARDLESS OF THE THEORY OF RECOVERY, SHALL BE LIMITED TO THE AMOUNT OF ACTUAL, DIRECT, AND DOCUMENTED DAMAGES THE APPLICABLE AUTHORIZED CUSTOMER ACTUALLY RECOVERS FROM THE LOOP PARTIES UNDER THE TRANSFERRED CONTRACT BASED SOLELY ON JOINT VENTURE COMPANY'S BREACH OF SUCH TRANSFERRED CONTRACT."", 'IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER UNDER THIS AGREEMENT OR OTHERWISE FOR CONSEQUENTIAL, SPECIAL, INCIDENTAL, EXEMPLARY, STATUTORY, OR PUNITIVE DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT.']",Yes,[],No,[],No,[],No,[],No,[],No
NUVEEN - REMARKETING AGREEMENT.PDF,['REMARKETING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,"['Notwithstanding any prior termination of this Agreement, [â], solely in its capacity as Remarketing Agent, hereby covenants and agrees that it shall not, prior to the date which is one year and one day after the redemption and the payment in full of the VRRM-MFP Shares and all accumulated dividends, petition or otherwise invoke the process of any court or government authority for the purpose of commencing a case against, the Fund under any federal or state bankruptcy, insolvency or similar law or appointing a receiver, liquidator, assignee, trustee, custodian, sequestrator or other similar official of the Fund or any substantial part of the property of the Fund; provided, however, that nothing in this provision shall preclude, or be deemed to stop, the Remarketing Agent from taking any action prior to the expiration of the aforementioned one year and one day period in (x) any case or proceeding voluntarily filed or commenced by the Fund, (y) any involuntary insolvency proceeding filed or commenced against the Fund by a Person other than the Remarketing Agent, or (z) with respect to its rights or preferences as a Beneficial Owner or Holder of VRRM-MFP Shares.']",Yes,[],No
"MetLife, Inc. - Remarketing Agreement.PDF",['Remarketing Agreement'],[],No,"['Notwithstanding the provisions of this subsection (d), no Remarketing Agent shall be required to contribute any amount in excess of the amount by which the total price at which the applicable Securities remarketed by it and distributed to the public were offered to the public exceeds the amount of any damages which such Remarketing Agent has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission.']",Yes,[],No,[],No,"['Each Significant Subsidiary that is required to be organized or licensed as an insurance company in its jurisdiction of incorporation (each, an ""Insurance Subsidiary"" and collectively, the ""Insurance Subsidiaries"") is licensed<omitted>as an insurance company in its respective jurisdiction of incorporation and is duly licensed or authorized as an insurer in each other jurisdiction where it is required to be so licensed or authorized to conduct its business, in each case with such exceptions as would not have, individually or in the aggregate, a Material Adverse Effect; except as otherwise described in the Disclosure Package, each Insurance Subsidiary has all other approvals, orders, consents, authorizations, licenses, certificates, permits, registrations and qualifications (collectively, the ""Approvals"") of and from all insurance regulatory authorities to conduct its business, with such exceptions as would not have, individually or in the aggregate, a Material Adverse Effect; there is no pending or, to the knowledge of the Company, threatened action, suit, proceeding or investigation that could reasonably be expected to lead to any revocation, termination or suspension of any such Approval, the revocation, termination or suspension of which would have, individually or in the aggregate, a Material Adverse Effect; and, to the knowledge of the Company, no insurance regulatory agency or body has issued any order or decree impairing, restricting or prohibiting the payment of dividends by any Insurance Subsidiary to its parent which would have, individually or in the aggregate, a Material Adverse Effect.', 'Each Insurance Subsidiary is in compliance with and conducts its businesses in conformity with all applicable insurance laws and regulations of its respective jurisdiction of incorporation and the insurance laws and regulations of other jurisdictions which are applicable to it, in each case with such exceptions as would not have, individually or in the aggregate, a Material Adverse Effect.']",Yes,[],No,[],No
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .PDF","['AMENDED AND RESTATED STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT']","[""Any and all liability of PPI to EKR howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance, in contract tort or otherwise, shall be limited (except for death or  personal injury caused by the negligence of PPI or its employees while acting in the course of their employment) to [**] US Dollars ($[**]);  provided<omitted>however that such limitation shall not apply to the extent that EKR or any EKR Indemnified Party is required to pay in excess of such  amount to a third party in respect of a final judgment or order obtained by the third party or as a result of PPI's breach of Section 7.2.12 of  the Supply Agreement."", 'Any and all liability of EKR to PPI howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance in contract tort or otherwise shall be limited (except for death or  personal injury caused by the negligence of EKR or its employees while acting in the course of their employment, and except in relation to  any specified payment, lump sum, milestone or royalty payment unpaid) to [**] US Dollars ($[**]); provided however that such limitation  shall not apply to the extent that PPI or any PPI Indemnified Party is required to pay in excess of such amount to a third party in respect of a  final judgment or order obtained by the third party.']",Yes,"[""Any and all liability of PPI to EKR howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance, in contract tort or otherwise, shall be limited (except for death or  personal injury caused by the negligence of PPI or its employees while acting in the course of their employment) to [**] US Dollars ($[**]);  provided<omitted>however that such limitation shall not apply to the extent that EKR or any EKR Indemnified Party is required to pay in excess of such  amount to a third party in respect of a final judgment or order obtained by the third party or as a result of PPI's breach of Section 7.2.12 of  the Supply Agreement."", ""Notwithstanding anything contained in this Agreement or the Transition Services and Inventory Agreement or the  Supply Agreement in no circumstance shall either Party be liable to the other in contract, tort (including negligence or breach of statutory  duty) or otherwise howsoever, and whatever the cause thereof, for any special, indirect or consequential loss or damage of any nature  whatsoever except in the cases of fraud or intentional misconduct or in the case of PPI as a result of PPI's breach of Section 7.2.12 of the  Supply Agreement."", 'Any and all liability of EKR to PPI howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance in contract tort or otherwise shall be limited (except for death or  personal injury caused by the negligence of EKR or its employees while acting in the course of their employment, and except in relation to  any specified payment, lump sum, milestone or royalty payment unpaid) to [**] US Dollars ($[**]); provided however that such limitation  shall not apply to the extent that PPI or any PPI Indemnified Party is required to pay in excess of such amount to a third party in respect of a  final judgment or order obtained by the third party.']",Yes,[],No,[],No,"['Each Party shall maintain, at its own cost, comprehensive product liability insurance, general commercial liability insurance and business interruption insurance at a level which is reasonable and customary taking into account the nature of the Product but which shall  have combined limits of not less than $[**] per occurrence.', ""During the Lease Term, PPI shall:<omitted>maintain property damage and liability insurance and insurance against  loss or damage to the Transferred Equipment as part of PPI's general liability insurance."", 'Such insurance shall be with a reputable insurance company and where  reasonably possible (taking into account the availability of such insurance) shall be maintained for not less than [**] ([**]) years following  the expiry or termination of this Agreement.', 'Each Party will provide to the other Party evidence of its insurance and thirty (30) days  prior written notice of any cancellation of its coverage or reduction in coverage from the requirements stated herein.']",Yes,[],No,[],No
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement .PDF,['Broker Dealer Marketing and Servicing Agreement for Variable Annuity Contracts'],[],No,[],No,[],No,[],No,"['In those states where Broker Dealer has not obtained an insurance license, Broker Dealer represents and   warrants that: it has entered into an insurance networking agreement with the undersigned duly licensed   insurance affiliate(s) to act on its behalf in the capacity of a licensed insurance agent or agency   (""Affiliated Agency"").']",Yes,[],No,[],No
"Reinsurance Group of America, Incorporated - A_R REMARKETING  AGREEMENT.PDF",['AMENDED AND RESTATED REMARKETING AGREEMENT'],[],No,"['Notwithstanding the provisions of this Section 7(d), the  Remarketing Agent shall not be required to contribute any amount in excess of the total price at which Remarketing Securities distributed in the  Remarketing exceed the amount of any damages which the Remarketing Agent has otherwise paid or become liable to pay by reason of any untrue  or alleged untrue statement or omission or alleged omission.']",Yes,[],No,[],No,"['The Company and each of its subsidiaries maintains insurance covering their properties, personnel and business.', 'All such  insurance is outstanding and duly in force on the date hereof and will be outstanding and duly in force on the Commencement Date and the  Remarketing Settlement Date.', ""Such insurance insures  against such losses and risks as are adequate in accordance with the Company's perception of customary industry practice to protect the  Company and its subsidiaries and their businesses.""]",Yes,[],No,"['This Agreement and the terms and provisions hereof are for the sole benefit of only those  persons, except that (A) the representations, warranties, indemnities and agreements of the Issuers contained in this Agreement shall also be  deemed to be for the benefit of the officers, directors and employees of the Remarketing Agent and the person or persons, if any, who control the  Remarketing Agent within the meaning of Section 15 of the Securities Act; and (B) any indemnity agreement of the Remarketing Agent contained  in this Agreement shall be deemed to be for the benefit of directors, trustees, officers and employees of the Company, and the Trust, and any  person controlling the Company or the Trust within the meaning of Section 15 of the Securities Act.']",Yes
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT.PDF",['STRATEGIC SALES & MARKETING AGREEMENT'],[],No,[],No,[],No,[],No,"['Each party shall maintain insurance, including comprehensive or commercial general liability and products liability insurance (contractual liability included), with respect to its activities under this Agreement in such amounts and with such limits as reasonable and customary in the industry, but with limits not less than the following: (a) each occurrence, one million  dollars ($1,000,000); (b) products/completed operations aggregate, five million dollars ($5,000,000); (c) personal and advertising injury, one million dollars ($1,000,000); and (d) general aggregate (commercial form only), five million dollars ($5,000,000).', 'Each Party shall maintain such insurance for so long as it continues its activities under this Agreement, and thereafter for so long as it customarily maintains insurance for itself covering similar activities.']",Yes,[],No,[],No
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.PDF","['MANUFACTURING, DESIGN AND MARKETING AGREEMENT (t']",[],No,"['IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY ""COVER"" DAMAGES (INCLUDING INTERNAL COVER DAMAGES WHICH THE PARTIES AGREE MAY NOT BE CONSIDERED DIRECT DAMAGES), OR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES OF ANY KIND OR NATURE ARISING OUT OF THIS AGREEMENT OR THE SALE OF MANUFACTURER\'S PRODUCTS, WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF CONTRACT, TORT (INCLUDING THE POSSIBILITY OF NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE, EVEN IF THE PARTY HAS BEEN WARNED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE, AND EVEN IF ANY OF THE LIMITED REMEDIES IN THIS AGREEMENT\n\n\n\n\n\nFAIL OF THEIR ESSENTIAL PURPOSE.', ""THIS SECTION 7 SETS FORTH SUBCONTRACTOR'S SOLE AND EXCLUSIVE LIABILITY, AND MANUFACTURER'S SOLE AND EXCLUSIVE REMEDY, AS TO ANY FAILURE OF THE MANUFACTURER'S PRODUCTS TO MEET THE WARRANTY STANDARDS.""]",Yes,"[""Each Party agrees that in the event it violates the provisions of this Section 15.9, it will pay to the other Party as liquidated damages, and not as a penalty, an amount equal to one hundred times (100 X) of any such employee's then-current base annual salary.""]",Yes,"[""Upon Manufacturer's request, Subcontractor will facilitate such Manufacturer's Products being repaired or replaced, Manufacturer must return the Manufacturer's Products to Subcontractor, transportation charges prepaid by Manufacturer, within fifteen (15) days of the end of such thirty (30) date notice period.""]",Yes,[],No,[],No,[],No
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.PDF,['Sponsorship Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],[],No,[],No,[],No,[],No,"['Sabco shall provide at its expense and maintain throughout           --------- the term of this Agreement and any option period spectator liability insurance  in an amount not less than $1 million single limit coverage with respect to any  liability relating to the activities of Sabco in the performance of this  Agreement.  Sabco shall, within 90 days of the execution of this Agreement,  supply Prolong with a copy of such policy of insurance or a certificate thereof, and such policies shall be cancelable only upon 10 days written notice to  Prolong.']",Yes,[],No,[],No
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],"['EXCEPT UNDER SECTION 11(a), IN NO EVENT WILL EITHER PARTY BE LIABLE TO          THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES,          WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR          OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE          POSSIBILITY OF SUCH DAMAGE. THE LIABILITY OF EXCITE FOR DAMAGES OR          ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER          LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE TOTAL AMOUNTS          PREVIOUSLY PAID OR TO BE PAID BY NETGROCER TO EXCITE HEREUNDER [*]']",Yes,"['EXCEPT UNDER SECTION 11(a), IN NO EVENT WILL EITHER PARTY BE LIABLE TO          THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES,          WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR          OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE          POSSIBILITY OF SUCH DAMAGE. THE LIABILITY OF EXCITE FOR DAMAGES OR          ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER          LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE TOTAL AMOUNTS          PREVIOUSLY PAID OR TO BE PAID BY NETGROCER TO EXCITE HEREUNDER [*]']",Yes,[],No,[],No,[],No,[],No,[],No
SONUSCORP_03_12_1997-EX-10.11-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],[],No,"['In no event shall the aggregate amount of remediation pursuant to subsections (b) through (e) of this Section for any calendar year exceed the Annual Payment made by Sponsor for such calendar year.', 'The provisions of subsections (b) through (f) of this Section 10 shall constitute the sole remedy for the inability of SDBF to provide Sponsorship Benefits for any reason other than intentional breach by SDBF.']",Yes,[],No,[],No,"[""c. Sponsor must obtain, and continuously maintain, at its own expense, the following insurance policies:     1. Workers' Compensation in compliance with California's laws, including Employers' Liability with minimum limits of:   $ *** Each Accident; $ *** Disease - Each Employee; $ *** Disease - Policy Limit.\n\n  2. An Insurance Services Office occurrence based Commercial General Liability Insurance Policy, including contractual liability and products/completed operations liability coverage with minimum limits of:\n\n$ *** Each Occurrence; $ *** General Aggregate; $ *** Products/Completed Operations Aggregate."", 'All policies shall be endorsed to provide a Waiver of Subrogation in favor of SDBF.', 'Sponsor shall provide SDBF with certificates of insurance evidencing compliance with all insurance provisions noted above prior to the commencement of the sponsorship and annually prior to the expiration of each required insurance policy.', 'All insurance policies must be issued by an admitted insurance carrier with an A.M. Best rating of A-8 or better. SDBF, Padres LP, the City of San Diego and each of their subsidiary or affiliated companies and its and their directors, officers and employees must be named  as Additional Insureds under the Commercial General Liability, Automobile Liability  and Umbrella Liability Policies.', 'Further, coverage for the Additional Insureds shall apply on a primary basis irrespective of any other insurance, whether collectible or not.', 'All of these policies must contain Cross Liability Endorsements, or their equivalent.']",Yes,[],No,[],No
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],"['Except for claims arising under section 6, in no event will either party be liable for any special, indirect, incidental or consequential damages.']",Yes,"['Except for claims arising under section 6, in no event will either party be liable for any special, indirect, incidental or consequential damages.']",Yes,[],No,[],No,[],No,[],No,[],No
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.PDF",['SPONSORSHIP AGREEMENT'],"[""EXCEPT FOR INDEMNIFICATION  OBLIGATIONS DUE TO LIABILITIES TO THIRD PARTIES, NOTWITHSTANDING ANY PROVISION CONTAINED IN THIS AGREEMENT TO THE CONTRARY, NO PARTY TO THIS AGREEMENT WILL BE LIABLE TO ANY OTHER PARTY TO THIS AGREEMENT FOR ANY INCIDENTAL, INDIRECT, SPECIAL, CONSEQUENTIAL OR PUNITIVE DAMAGES (INCLUDING DAMAGES FOR LOSS OF USE, POWER, BUSINESS GOOD WILL, REVENUE OR PROFIT, NOR FOR INCREASED EXPENSES, OR BUSINESS INTERRUPTION) ARISING OUT OF OR RELATED TO THE PERFORMANCE OR NON PERFORMANCE OF THIS AGREEMENT UNLESS THE DAMAGES AROSE DUE TO A PARTY'S GROSS NEGLIGENCE OR WILLFUL BREACH OF THIS AGREEMENT.""]",Yes,"[""EXCEPT FOR INDEMNIFICATION  OBLIGATIONS DUE TO LIABILITIES TO THIRD PARTIES, NOTWITHSTANDING ANY PROVISION CONTAINED IN THIS AGREEMENT TO THE CONTRARY, NO PARTY TO THIS AGREEMENT WILL BE LIABLE TO ANY OTHER PARTY TO THIS AGREEMENT FOR ANY INCIDENTAL, INDIRECT, SPECIAL, CONSEQUENTIAL OR PUNITIVE DAMAGES (INCLUDING DAMAGES FOR LOSS OF USE, POWER, BUSINESS GOOD WILL, REVENUE OR PROFIT, NOR FOR INCREASED EXPENSES, OR BUSINESS INTERRUPTION) ARISING OUT OF OR RELATED TO THE PERFORMANCE OR NON PERFORMANCE OF THIS AGREEMENT UNLESS THE DAMAGES AROSE DUE TO A PARTY'S GROSS NEGLIGENCE OR WILLFUL BREACH OF THIS AGREEMENT.""]",Yes,[],No,[],No,"[""Without limiting or qualifying the Sponsor's liabilities, obligations, or indemnities, before the Event, the Sponsor will obtain, at its sole cost and expense, a comprehensive general liability insurance policy from a company acceptable to ANTHEMIC and authorized to do business in the state of Illinois with limits of no less than $1,000,000.00 per occurrence and $2,000,000.00 as an annual aggregate. The insurance mentioned in the preceding sentence will name ANTHEMIC as additional insured. The Sponsor will also maintain any statutorily required workers compensation insurance.""]",Yes,"[""ANTHEMIC will not, at any time during or after the Effective Date, dispute or contest, directly or indirectly, the Sponsor's exclusive ownership in the Sponsor's trademarks."", ""The Sponsor will not, at any time after the Effective Date, dispute or contest, directly or indirectly, ANTHEMIC's exclusive ownership in their respective trademarks.""]",Yes,[],No
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",['Reseller Agreement'],"[""EXCEPT FOR PIVX'S OBLIGATIONS UNDER SECTION 4.2, IN NO EVENT SHALL PIVX'S OR ITS LICENSORS' LIABILITY TO DETTO OR ANY THIRD PARTY ARISING OUT OF THIS AGREEMENT EXCEED THE TOTAL AMOUNT ACTUALLY RECEIVED BY PIVX HEREUNDER DURING THE PREVIOUS SIX (6) MONTHS.""]",Yes,"['In the event of termination in accordance with Section 5.1, PivX shall not be liable to Detto because of such termination for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of Detto.', ""EXCEPT FOR PIVX'S OBLIGATIONS UNDER SECTION 4.2, IN NO EVENT SHALL PIVX'S OR ITS LICENSORS' LIABILITY TO DETTO OR ANY THIRD PARTY ARISING OUT OF THIS AGREEMENT EXCEED THE TOTAL AMOUNT ACTUALLY RECEIVED BY PIVX HEREUNDER DURING THE PREVIOUS SIX (6) MONTHS.""]",Yes,[],No,"['With respect to Qwik-Fix Pro delivered by PivX to Detto on CD-Rom, PivX warrants that for a period of thirty (30) days following delivery to Detto, the media on which Qwik-Fix Pro is furnished to Detto will be free from defects in materials and workmanship during normal use.']",Yes,[],No,"[""Detto shall not contest the validity of any of the Property or PivX's exclusive ownership of them.""]",Yes,[],No
